ID;Number;Nationwide number;Name;Original name;Sex;Year of birth;Nationality;Military/Civilian;Selection;Year of Selection;mission number;total number of missions;Occupation;Year of mission;Mission title;Ascend shuttle;In orbit;Descend shuttle;Hours/mission;Total hrs (sum);Field21;EVA hrs/mission;Total EVA hrs
1;1;1;Gagarin, Yuri;ГАГАРИН Юрий Алексеевич;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;1;1;pilot;1961;Vostok 1;Vostok 1;Vostok 2;Vostok 3;1,77;1,77;0;0;0
2;2;2;Titov, Gherman;ТИТОВ Герман Степанович;M;1935;U.S.S.R/Russia;Mil;TsPK-1;1960;1;1;pilot;1961;Vostok 2;Vostok 2;Vostok 2;Vostok 2;25;25,3;0;0;0
3;3;1;Glenn, John H., Jr.;Glenn, John H., Jr.;M;1921;U.S.;Mil;NASA Astronaut Group 1;1959;1;2;pilot;1962;MA-6;MA-6;MA-6;MA-6;5;218;0;0;0
4;3;1;Glenn, John H., Jr.;Glenn, John H., Jr.;M;1921;U.S.;Mil;NASA Astronaut Group 2;1959;2;2;PSP;1998;STS-95;STS-95;STS-95;STS-95;213;218;0;0;0
5;4;2;Carpenter, M. Scott;Carpenter, M. Scott;M;1925;U.S.;Mil;NASA- 1;1959;1;1;Pilot;1962;Mercury-Atlas 7;Mercury-Atlas 7;Mercury-Atlas 7;Mercury-Atlas 7;5;5;0;0;0
6;5;2;Nikolayev, Andriyan;НИКОЛАЕВ Андриян Григорьевич;M;1929;U.S.S.R/Russia;Mil;TsPK-1;1960;1;2;pilot;1962;Vostok 3;Vostok 3;Vostok 3;Vostok 3;94;519,33;0;0;0
7;5;2;Nikolayev, Andriyan;НИКОЛАЕВ Андриян Григорьевич;M;1929;U.S.S.R/Russia;Mil;TsPK-2;1960;2;2;pilot;1970;Soyuz 9;Soyuz 9;Soyuz 9;Soyuz 9;424;519,33;0;0;0
8;6;4;Popovich, Pavel;ПОПОВИЧ Павел Романович;M;1930;U.S.S.R/Russia;Mil;TsPK-1;1960;1;2;pilot;1962;Vostok 4;Vostok 4;Vostok 4;Vostok 4;70,93;448,45;0;0;0
9;6;4;Popovich, Pavel;ПОПОВИЧ Павел Романович;M;1930;U.S.S.R/Russia;Mil;TsPK-2;1960;2;2;commander;1974;Soyuz 14;Soyuz 14;Soyuz 14;Soyuz 14;377;448,45;0;0;0
10;7;3;Schirra, Walter M., Jr.;Schirra, Walter M., Jr.;M;1923;U.S.;Mil;1959 NASA group 1;1959;1;3;pilot;1962;Mercury-Atlas 8;Mercury-Atlas 8;Mercury-Atlas 8;Mercury-Atlas 8;9,22;295,2;0;0;0
11;7;3;Schirra, Walter M., Jr.;Schirra, Walter M., Jr.;M;1923;U.S.;Mil;1960 NASA group 1;1959;2;3;commander;1965;Gemini 6A;Gemini 6A;Gemini 6A;Gemini 6A;25,87;295,2;0;0;0
12;7;3;Schirra, Walter M., Jr.;Schirra, Walter M., Jr.;M;1923;U.S.;Mil;1961 NASA group 1;1959;3;3;commander;1968;Apollo 7;Apollo 7;Apollo 7;Apollo 7;260,13;295,2;0;0;0
13;8;4;Cooper, L. Gordon, Jr.;Cooper, L. Gordon, Jr.;M;1927;U.S.;Mil;NASA- 1;1959;1;2;pilot;1963;Mercury-Atlas 9;Mercury-Atlas 9;Mercury-Atlas 9;Mercury-Atlas 9;34,32;225;0;0;0
14;8;4;Cooper, L. Gordon, Jr.;Cooper, L. Gordon, Jr.;M;1927;U.S.;Mil;NASA- 1;1959;2;2;commander;1965;Gemini 5;Gemini 5;Gemini 5;Gemini 5;191,92;225;0;0;0
15;9;5;Bykovsky, Valery;БЫКОВСКИЙ Валерий Федорович;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;1;3;pilot;1963;Vostok 5;Vostok 5;Vostok 5;Vostok 5;119,13;497,8;0;0;0
16;9;5;Bykovsky, Valery;БЫКОВСКИЙ Валерий Федорович;M;1934;U.S.S.R/Russia;Mil;TsPK-2;1960;2;3;commander;1976;Soyuz 22;Soyuz 22;Soyuz 22;Soyuz 22;189;497,8;0;0;0
17;9;5;Bykovsky, Valery;БЫКОВСКИЙ Валерий Федорович;M;1934;U.S.S.R/Russia;Mil;TsPK-3;1960;3;3;commander;1978;Soyuz 31/29;Soyuz 31;Salyut 6;Soyuz 29;188;497,8;0;0;0
18;10;6;Tereshkova, Valentina;ТЕРЕШКОВА Валентина Владимировна;F;1937;U.S.S.R/Russia;Mil;VVS Women;1962;1;1;pilot;1963;Vostok 6;Vostok 6;Vostok 6;Vostok 6;70,83;70,83;0;0;0
19;11;7;Komarov, Vladimir;КОМАРОВ Владимир Михайлович;M;1927;U.S.S.R/Russia;Mil;TsPK-1;1960;1;2;commander;1964;Voskhod 1;Voskhod 1;Voskhod 1;Voskhod 1;24,28;51,07;0;0;0
20;11;7;Komarov, Vladimir;КОМАРОВ Владимир Михайлович;M;1927;U.S.S.R/Russia;Mil;TsPK-2;1960;2;2;commander;1967;Soyuz 1;Soyuz 1;Soyuz 1;Soyuz 1;26,78;51,07;0;0;0
21;12;8;Feoktistov, Konstantin;ФЕОКТИСТОВ Константин Петрович;M;1926;U.S.S.R/Russia;Civ;Voskhod-1 / TsKBEM-1;1964;1;1;MSP;1964;Voskhod 1;Voskhod 1;Voskhod 1;Voskhod 1;24,28;24,28;0;0;0
22;13;9;Yegorov, Boris;ЕГОРОВ Борис Борисович;M;1937;U.S.S.R/Russia;Civ;Voskhod-1;1964;1;1;MSP;1964;Voskhod 1;Voskhod 1;Voskhod 1;Voskhod 1;24,28;24,28;0;0;0
23;14;10;Belyayev, Pavel;БЕЛЯЕВ Павел Иванович;M;1925;U.S.S.R/Russia;Mil;TsPK-1;1960;1;1;commander;1965;Voskhod 2;Voskhod 2;Voskhod 2;Voskhod 2;26,03;26,03;0;0;0
24;15;11;Leonov, Aleksei;ЛЕОНОВ Алексей Архипович;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;1;2;pilot;1965;Voskhod 2;Voskhod 2;Voskhod 2;Voskhod 2;26,03;168,53;1;0,73;0,73
25;15;11;Leonov, Aleksei;ЛЕОНОВ Алексей Архипович;M;1934;U.S.S.R/Russia;Mil;TsPK-2;1960;2;2;commander;1975;Soyuz 19;Soyuz 19;Soyuz 19/Apollo;Soyuz 19;142;168,53;0;0;0,73
26;16;5;Grissom, Virgil I.;Grissom, Virgil I.;M;1926;U.S.;Mil;NASA Astronaut Group 2;1959;1;1;commander;1965;Gemini 3;Gemini 3;Gemini 3;Gemini 3;4,86;4,86;0;0;0
27;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1962 NASA group 2;1962;1;6;pilot;1965;Gemini 3;Gemini 3;Gemini 3;Gemini 3;4,86;835,65;0;0;20,23
28;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1963 NASA group 2;1962;2;6;pilot;1966;Gemini 10;Gemini 10;Gemini 10;Gemini 10;70,77;835,65;0;0;20,23
29;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1964 NASA group 2;1962;3;6;pilot;1969;Apollo 10;Apollo 10;Apollo 10;Apollo 10;192,05;835,65;0;0;20,23
30;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1965 NASA group 2;1962;4;6;commander;1972;Apollo 16;Apollo 16;Apollo 16;Apollo 16;265,85;835,65;3;20,23;20,23
31;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1966 NASA group 2;1962;5;6;commander;1981;STS-1;STS-1;STS-1;STS-1;54,5;835,65;0;0;20,23
32;17;6;Young, John W.;Young, John W.;M;1930;U.S.;Mil;1967 NASA group 2;1962;6;6;commander;1983;STS-9;STS-9;STS-9;STS-9;240;835,65;0;0;20,23
33;18;7;McDivitt, James A.;McDivitt, James A.;M;1929;U.S.;Mil;NASA- 2;1962;1;2;commander;1965;Gemini 4;Gemini 4;Gemini 4;Gemini 4;97;338;0;0;0
34;18;7;McDivitt, James A.;McDivitt, James A.;M;1929;U.S.;Mil;NASA- 2;1962;2;2;commander;1969;Apollo 9;Apollo 9;Apollo 9;Apollo 9;241;338;0;0;0
35;19;8;White, Edward H., II;White, Edward H., II;M;1930;U.S.;Mil;1962 NASA group 2;1962;1;1;pilot;1965;Gemini 4;Gemini 4;Gemini 4;Gemini 4;97,93;97,93;1;0,33;0,33
36;20;9;Conrad, Charles, Jr.;Conrad, Charles, Jr.;M;1930;U.S.;Mil;NASA- 2;1962;1;4;pilot;1965;Gemini 5;Gemini 5;Gemini 5;Gemini 5;191;1179;0;0;12,77
37;20;9;Conrad, Charles, Jr.;Conrad, Charles, Jr.;M;1930;U.S.;Mil;NASA- 2;1962;2;4;commander;1966;Gemini 11;Gemini 11;Gemini 11;Gemini 11;71;1179;0;0;12,77
38;20;9;Conrad, Charles, Jr.;Conrad, Charles, Jr.;M;1930;U.S.;Mil;NASA- 2;1962;3;4;commander;1969;Apollo 12;Apollo 12;Apollo 12;Apollo 12;244;1179;2;7,75;12,77
39;20;9;Conrad, Charles, Jr.;Conrad, Charles, Jr.;M;1930;U.S.;Mil;NASA- 2;1962;4;4;commander;1973;Skylab 2;Skylab 2;Skylab 2;Skylab 2;673;1179;2;5,02;12,77
40;21;10;Borman, Frank;Borman, Frank;M;1928;U.S.;Mil;NASA- 2;1962;1;2;commander;1965;Gemini 7;Gemini 7;Gemini 7;Gemini 7;330,58;477;0;0;0
41;21;10;Borman, Frank;Borman, Frank;M;1928;U.S.;Mil;NASA- 2;1962;2;2;commander;1968;Apollo 8;Apollo 8;Apollo 8;Apollo 8;147;477;0;0;0
42;22;11;Lovell, James A., Jr.;Lovell, James A., Jr.;M;1928;U.S.;Mil;NASA- 2;1962;1;4;pilot;1965;Gemini 7;Gemini 7;Gemini 7;Gemini 7;330,58;715,05;0;0;0
43;22;11;Lovell, James A., Jr.;Lovell, James A., Jr.;M;1928;U.S.;Mil;NASA- 2;1962;2;4;commander;1966;Gemini 12;Gemini 12;Gemini 12;Gemini 12;94;715,05;0;0;0
44;22;11;Lovell, James A., Jr.;Lovell, James A., Jr.;M;1928;U.S.;Mil;NASA- 2;1962;3;4;pilot;1968;Apollo 8;Apollo 8;Apollo 8;Apollo 8;147;715,05;0;0;0
45;22;11;Lovell, James A., Jr.;Lovell, James A., Jr.;M;1928;U.S.;Mil;NASA- 2;1962;4;4;commander;1970;Apollo 13;Apollo 13;Apollo 13;Apollo 13;142;715,05;0;0;0
46;23;12;Stafford, Thomas P.;Stafford, Thomas P.;M;1930;U.S.;Mil;1996 NASA group;1962;1;4;pilot;1965;gemini 6A;gemini 6A;gemini 6A;gemini 6A;25,86;508;0;0;0
47;23;12;Stafford, Thomas P.;Stafford, Thomas P.;M;1930;U.S.;Mil;1996 NASA group;1962;2;4;commander;1966;Gemini 9A;Gemini 9A;Gemini 9A;Gemini 9A;72;508;0;0;0
48;23;12;Stafford, Thomas P.;Stafford, Thomas P.;M;1930;U.S.;Mil;1996 NASA group;1962;3;4;commander;1969;Apollo 10;Apollo 10;Apollo 10;Apollo 10;192;508;0;0;0
49;23;12;Stafford, Thomas P.;Stafford, Thomas P.;M;1930;U.S.;Mil;1996 NASA group;1962;4;4;commander;1975;ASTP;ASTP;ASTP;ASTP;217;508;0;0;0
50;24;13;Armstrong, Neil A.;Armstrong, Neil A.;M;1930;U.S.;Civ;1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2;1962;1;2;commander;1966;Gemini 8;Gemini 8;Gemini 8;Gemini 8;11;206;0;0;2,51
51;24;13;Armstrong, Neil A.;Armstrong, Neil A.;M;1930;U.S.;Civ;1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2;1962;2;2;commander;1969;Apollo 11;Apollo 11;Apollo 11;Apollo 11;195;206;1;2,52;2,51
52;25;14;Scott, David R.;Scott, David R.;M;1932;U.S.;Mil;1963 NASA group 3;1963;1;3;pilot;1966;Gemini 8;Gemini 8;Gemini 8;Gemini 8;240,68;546;0;0;19,9
53;25;14;Scott, David R.;Scott, David R.;M;1932;U.S.;Mil;1963 NASA group 3;1963;2;3;pilot;1969;Apollo 9;Apollo 9;Apollo 9;Apollo 9;241;546;1;1,13;19,9
54;25;14;Scott, David R.;Scott, David R.;M;1932;U.S.;Mil;1963 NASA group 3;1963;3;3;commander;1971;Apollo 15;Apollo 15;Apollo 15;Apollo 15;312;546;3;18,77;19,9
55;26;15;Cernan, Eugene A.;Cernan, Eugene A.;M;1934;U.S.;Mil;NASA- 3;1963;1;3;pilot;1966;Gemini 9A;Gemini 9A;Gemini 9A;Gemini 9A;72;565;1;2,12;24,18
56;26;15;Cernan, Eugene A.;Cernan, Eugene A.;M;1934;U.S.;Mil;NASA- 3;1963;2;3;pilot;1969;Apollo 10;Apollo 10;Apollo 10;Apollo 10;192,05;565;0;0;24,18
57;26;15;Cernan, Eugene A.;Cernan, Eugene A.;M;1934;U.S.;Mil;NASA- 3;1963;3;3;commander;1972;Apollo 17;Apollo 17;Apollo 17;Apollo 17;302;565;3;22,13;24,18
58;27;16;Collins, Michael;Collins, Michael;M;1930;U.S.;Civ;NASA- 3;1963;1;2;pilot;1966;Gemini 10;Gemini 10;Gemini 10;Gemini 10;71;266;1;1,47;1,47
59;27;16;Collins, Michael;Collins, Michael;M;1930;U.S.;Civ;NASA- 3;1963;2;2;pilot;1969;Apollo 11;Apollo 11;Apollo 11;Apollo 11;195;266;0;0;1,47
60;28;17;Gordon, Richard F., Jr.;Gordon, Richard F., Jr.;M;1929;U.S.;Mil;NASA Astronaut Group 3;1963;1;2;pilot;1966;Gemini 11;Gemini 11;Gemini 11;Gemini 11;71,28;315,88;0;0;2,68
61;28;17;Gordon, Richard F., Jr.;Gordon, Richard F., Jr.;M;1929;U.S.;Mil;NASA Astronaut Group 4;1963;2;2;pilot;1969;Apollo 12;Apollo 12;Apollo 12;Apollo 12;244,6;315,88;2;2,68;2,68
62;29;18;Aldrin, Edwin Eugene, Jr.;Aldrin, Edwin Eugene, Jr.;M;1930;U.S.;Mil;NASA- 3;1963;1;2;pilot;1966;Gemini 12;Gemini 12;Gemini 12;Gemini 12;94,58;289;3;5,5;8
63;29;18;Aldrin, Edwin Eugene, Jr.;Aldrin, Edwin Eugene, Jr.;M;1930;U.S.;Mil;NASA- 3;1963;2;2;pilot;1969;Apollo 11;Apollo 11;Apollo 11;Apollo 11;195;289;1;2,5;8
64;30;19;Eisele, Donn F.;Eisele, Donn F.;M;1930;U.S.;Mil;NASA- 3;1963;1;1;pilot;1968;Apollo 7;Apollo 7;Apollo 7;Apollo 7;260,13;260;0;0;0
65;31;20;Cunningham, Ronnie Walter;Cunningham, Ronnie Walter;M;1932;U.S.;Civ;NASA- 3;1963;1;1;pilot;1968;Apollo 7;Apollo 7;Apollo 7;Apollo 7;260,13;260,13;0;0;0
66;100;50;Savinykh, Viktor;Виктор Петрович Савиных;M;1940;U.S.S.R/Russia;Civ;NPOE-4;1978;2;3;flight engineer;1985;Salyut 7;Soyuz T;Salyut 7;Soyuz T;4035;6065,63;0;0;5
67;100;50;Savinykh, Viktor;Виктор Петрович Савиных;M;1940;U.S.S.R/Russia;Civ;NPOE-4;1978;3;3;flight engineer;1988;2;Soyuz TM;Mir EP;Soyuz TM;236;6065,63;0;0;5
68;101;1;Jugderdemidiin Gurragchaa;Жүгдэрдэмидийн Гүррагчаа;M;1947;Mongolia;Civ;1978 Intercosmos Group;1978;1;1;flight engineer;1981;Soyuz 39;Soyuz 39;Soyuz 39;Soyuz 39;188,7;188,7;0;0;0
69;102;44;Crippen, Robert L.;Crippen, Robert L.;M;1937;U.S.;Mil;NASA- 7;1969;1;4;pilot;1981;STS-1;STS-1;STS-1;STS-1;54;565;0;0;0
70;102;44;Crippen, Robert L.;Crippen, Robert L.;M;1937;U.S.;Mil;NASA- 7;1969;2;4;commander;1983;STS-7;STS-7;STS-7;STS-7;146;565;0;0;0
71;102;44;Crippen, Robert L.;Crippen, Robert L.;M;1937;U.S.;Mil;NASA- 7;1969;3;4;commander;1984;STS-41-C;STS-41-C;STS-41-C;STS-41-C;168;565;0;0;0
72;102;44;Crippen, Robert L.;Crippen, Robert L.;M;1937;U.S.;Mil;NASA- 7;1969;4;4;commander;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197;565;0;0;0
73;103;1;Dumitru Prunariu;Dumitru-Dorin Prunariu;M;1952;Romania;Civ;1978 Intercosmos Group;1978;1;1;MSP;1981;Soyuz 40;Soyuz 40;Soyuz 40;Soyuz 40;188,7;188,7;0;0;0
74;104;45;Engle, Joe H.;Engle, Joe H.;M;1932;U.S.;Mil;NASA- 5;1966;1;2;commander;1981;STS-2;STS-2;STS-2;STS-2;30;224;0;0;0
75;104;45;Engle, Joe H.;Engle, Joe H.;M;1932;U.S.;Mil;NASA- 5;1966;2;2;commander;1985;STS-51-I;STS-51-I;STS-51-I;STS-51-I;170;224;0;0;0
76;105;46;Truly, Richard H.;Truly, Richard H.;M;1937;U.S.;Mil;1965 USAF MOL group 1;1969;1;2;pilot;1981;STS-2;STS-2;STS-2;STS-2;54,21;199,34;0;0;0
77;105;46;Truly, Richard H.;Truly, Richard H.;M;1937;U.S.;Mil;1965 USAF MOL group 1;1969;2;2;commander;1983;STS-8;STS-8;STS-8;STS-8;145,13;199,34;0;0;0
78;106;47;Fullerton, Charles G.;Fullerton, Charles G.;M;1936;U.S.;Mil;"USAF MOL Group 2 
 NASA- 7";1969;1;2;pilot;1982;STS-3;STS-3;STS-3;STS-3;192;382;0;0;0
79;106;47;Fullerton, Charles G.;Fullerton, Charles G.;M;1936;U.S.;Mil;"USAF MOL Group 2 
 NASA- 7";1969;2;2;commander;1985;STS-51-F;STS-51-F;STS-51-F;STS-51-F;190;382;0;0;0
80;107;51;Berezovoy, Anatoly;Анатолий Николаевич Березовой;M;1942;U.S.S.R/Russia;Mil;TsPK-5;1970;1;1;commander;1982;Salyut 7;Soyuz T;Salyut 7;Soyuz T;5073;5073,07;1;2,55;2,55
81;108;1;Chrétien, Jean-Loup;Chrétien, Jean-Loup;M;1938;France;Mil;CNES-1;1980;1;3;MSP;1982;Salyut 7;Soyuz T-6;Salyut 7;Soyuz T-6;190;1043,32;0;0;5,95
82;108;1;Chrétien, Jean-Loup;Chrétien, Jean-Loup;M;1938;France;Mil;CNES-1;1980;2;3;MSP;1988;Mir Aragatz;Soyuz TM-7;Mir;Soyuz TM-6;594;1043,32;1;5,95;5,95
83;108;1;Chrétien, Jean-Loup;Chrétien, Jean-Loup;M;1938;France;Mil;CNES-1;1980;3;3;MSP;1997;STS-86;STS-86;STS-86;STS-86;259,3;1043,32;0;0;5,95
84;109;48;Hartsfield, Henry W., Jr.;Hartsfield, Henry W., Jr.;M;1933;U.S.;Mil;NASA Astronaut Group 7;1969;1;3;pilot;1982;STS-4;STS-4;STS-4;STS-4;169;481;0;0;0
85;109;48;Hartsfield, Henry W., Jr.;Hartsfield, Henry W., Jr.;M;1933;U.S.;Mil;NASA Astronaut Group 7;1969;2;3;commander;1984;STS-41-D;STS-41-D;STS-41-D;STS-41-D;144;481;0;0;0
86;109;48;Hartsfield, Henry W., Jr.;Hartsfield, Henry W., Jr.;M;1933;U.S.;Mil;NASA Astronaut Group 7;1969;3;3;commander;1985;STS-61-A;STS-61-A;STS-61-A;STS-61-A;168;481;0;0;0
87;110;52;Serebrov, Aleksandr;Александр Александрович Серебров;M;1944;U.S.S.R/Russia;Civ;NPOE-4;1978;1;4;flight engineer;1982;Salyut 7;Soyuz T;Salyut 7;Soyuz T;189;8950,87;0;0;31,82
88;32;12;Beregovoi, Georgi;БЕРЕГОВОЙ Георгий Тимофеевич;M;1921;U.S.S.R/Russia;Mil;TsPK-2;1964;1;1;commander;1968;Soyuz 3;Soyuz 3;Soyuz 3;Soyuz 3;94,83;94,83;0;0;0
89;33;21;Anders, William Alison;Anders, William Alison;M;1933;U.S.;Civ;NASA- 3;1963;1;1;pilot;1968;Apollo 8;Apollo 8;Apollo 8;Apollo 8;147;147;0;0;0
90;34;13;Shatalov, Vladimir;ШАТАЛОВ Владимир Александрович;M;1927;U.S.S.R/Russia;Mil;TsPK-2;1963;1;3;commander;1969;Soyuz 4;Soyuz 4;Soyuz 4/Soyuz 5;Soyuz 4;71,33;237,92;0;0;0
91;34;13;Shatalov, Vladimir;ШАТАЛОВ Владимир Александрович;M;1927;U.S.S.R/Russia;Mil;TsPK-3;1963;2;3;commander;1969;Soyuz 8;Soyuz 8;Soyuz 8;Soyuz 8;118;237,92;0;0;0
92;34;13;Shatalov, Vladimir;ШАТАЛОВ Владимир Александрович;M;1927;U.S.S.R/Russia;Mil;TsPK-4;1963;3;3;commander;1971;Soyuz 10;Soyuz 10;Soyuz 10;Soyuz 10;47;237,92;0;0;0
93;35;14;Volynov, Boris;ВОЛЫНОВ Борис Валентинович;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;1;2;commander;1969;Soyuz 5;Soyuz 5;Soyuz 5/Soyuz 4;Soyuz 5;72;1255,28;0;0;0
94;35;14;Volynov, Boris;ВОЛЫНОВ Борис Валентинович;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;2;2;commander;1976;Soyuz 21;Soyuz 21;Soyuz 21;Soyuz 21;1182;1255,28;0;0;0
95;36;15;Yeliseyev, Aleksei;ЕЛИСЕЕВ Алексей Станиславович;M;1934;U.S.S.R/Russia;Civ;Korolyov-Group / Mishin-Group / TsKBEM-1;1968;1;3;flight engineer;1969;Soyuz 5/4;Soyuz 5;Soyuz 5/4;Soyuz 4;47;214,33;1;0,62;0,62
96;36;15;Yeliseyev, Aleksei;ЕЛИСЕЕВ Алексей Станиславович;M;1934;U.S.S.R/Russia;Civ;Korolyov-Group / Mishin-Group / TsKBEM-2;1968;2;3;flight engineer;1969;Soyuz 8;Soyuz 8;Soyuz 8;Soyuz 8;118;214,33;0;0;0,62
97;36;15;Yeliseyev, Aleksei;ЕЛИСЕЕВ Алексей Станиславович;M;1934;U.S.S.R/Russia;Civ;Korolyov-Group / Mishin-Group / TsKBEM-3;1968;3;3;flight engineer;1971;Soyuz 10;Soyuz 10;Salyut 1;Soyuz 10;47;214,33;0;0;0,62
98;37;16;Khrunov, Yevgeny;ХРУНОВ Евгений Викторович;M;1933;U.S.S.R/Russia;Mil;TsPK-1;1960;1;1;MSP;1969;Soyuz 5/4;Soyuz 5;Soyuz 5/4;Soyuz 4;48,17;47,75;1;0,62;0,62
99;38;22;Schweickart, Russell L.;Schweickart, Russell L.;M;1935;U.S.;Civ;1963 NASA group 3;1963;1;1;pilot;1969;apollo 9;apollo 9;apollo 9;apollo 9;241;241;1;1,13;1,13
100;39;17;Shonin, Georgi;ШОНИН Георгий Степанович;M;1935;U.S.S.R/Russia;Mil;TsPK-1;1960;1;1;commander;1969;Soyuz 6;Soyuz 6;Soyuz 6;Soyuz 6;118;118,7;0;0;0
101;40;18;Kubasov, Valeri;КУБАСОВ Валерий Николаевич;M;1935;U.S.S.R/Russia;Mil;Korolyov-Group / Mishin-Group / TsKBEM-1;1968;1;3;flight engineer;1969;Soyuz 6;Soyuz 6;Soyuz 6;Soyuz 6;118;449,95;0;0;0
102;40;18;Kubasov, Valeri;КУБАСОВ Валерий Николаевич;M;1935;U.S.S.R/Russia;Mil;Korolyov-Group / Mishin-Group / TsKBEM-2;1968;2;3;flight engineer;1975;Soyuz 19;Soyuz 19;Soyuz 19/Apollo;Soyuz 19;142;449,95;0;0;0
103;40;18;Kubasov, Valeri;КУБАСОВ Валерий Николаевич;M;1935;U.S.S.R/Russia;Mil;Korolyov-Group / Mishin-Group / TsKBEM-3;1968;3;3;commander;1980;Soyuz 36/35;Soyuz 36;Salyut 6;Soyuz 35;188;449,95;0;0;0
104;41;19;Filipchenko, Anatoly;ФИЛИПЧЕНКО Анатолий Васильевич;M;1928;U.S.S.R/Russia;Mil;TsPK-2;1963;1;2;commander;1969;Soyuz 7;Soyuz 7;Soyuz 7;Soyuz 7;118;261,05;0;0;0
105;41;19;Filipchenko, Anatoly;ФИЛИПЧЕНКО Анатолий Васильевич;M;1928;U.S.S.R/Russia;Mil;TsPK-3;1963;2;2;commander;1974;Soyuz 16;Soyuz 16;Soyuz 16;Soyuz 16;142;261,05;0;0;0
106;42;20;Volkov, Vladislav;Владислав Николаевич Волков;M;1935;U.S.S.R/Russia;Mil;Korolyov-Group / Mishin-Group / TsKBEM-1;1968;1;2;flight engineer;1969;Soyuz 7;Soyuz 7;Soyuz 7;Soyuz 7;118;689,02;0;0;0
107;42;20;Volkov, Vladislav;Владислав Николаевич Волков;M;1935;U.S.S.R/Russia;Mil;Korolyov-Group / Mishin-Group / TsKBEM-1;1968;2;2;flight engineer;1971;Soyuz 11;Soyuz 11;Salyut 1;Soyuz 11;570;689,02;0;0;0
108;43;21;Gorbatko, Viktor;Виктор Васильевич Горбатко;M;1934;U.S.S.R/Russia;Mil;TsPK-1;1960;1;3;MSP;1969;Soyuz 7;Soyuz 7;Soyuz 7;Soyuz 7;118;732,78;0;0;0
109;43;21;Gorbatko, Viktor;Виктор Васильевич Горбатко;M;1934;U.S.S.R/Russia;Mil;TsPK-2;1960;2;3;commander;1977;Soyuz 24;Soyuz 24;Salyut 5;Soyuz 24;425;732,78;0;0;0
110;43;21;Gorbatko, Viktor;Виктор Васильевич Горбатко;M;1934;U.S.S.R/Russia;Mil;TsPK-3;1960;3;3;commander;1980;Soyuz 37/36;Soyuz 37;Salyut 6;Soyuz 36;188;732,78;0;0;0
111;44;23;Bean, Alan Lavern;Bean, Alan Lavern;M;1932;U.S.;Mil;1963 NASA group 3;1963;1;2;pilot;1969;Apollo 12;Apollo 12;Apollo 12;Apollo 12;244,81;1671,75;2;6,4;9,32
112;44;23;Bean, Alan Lavern;Bean, Alan Lavern;M;1932;U.S.;Mil;1963 NASA group 3;1963;2;2;commander;1973;Skylab 3;Apollo CSM-117;Skylab 3;Apollo CSM-117;1427,23;1671,75;1;2,68;9,32
113;45;24;Swigert, John L., Jr.;Swigert, John L., Jr.;M;1931;U.S.;Civ;1966 NASA group 5;1966;1;1;pilot;1970;Apollo 13;Apollo 13;Apollo 13;Apollo 13;142;142;0;0;0
114;46;25;Haise, Fred W., Jr.;Haise, Fred W., Jr.;M;1933;U.S.;Civ;NASA Astronaut Group 5;1966;1;1;pilot;1970;Apollo 13;Apollo 13;Apollo 13;Apollo 13;142;142;0;0;0
115;47;22;Sevastyanov, Vitali;Виталий Иванович Севастьянов;M;1935;U.S.S.R/Russia;Civ;Mishin-Group / TsKBEM-1;1968;1;2;flight engineer;1970;Soyuz 9;Soyuz 9;Soyuz 9;Soyuz 9;424;1936,3;0;0;0
116;47;22;Sevastyanov, Vitali;Виталий Иванович Севастьянов;M;1935;U.S.S.R/Russia;Civ;Mishin-Group / TsKBEM-2;1968;2;2;flight engineer;1975;Soyuz 18;Soyuz 18;Salyut 5;Soyuz 18;1511;1936,3;0;0;0
117;48;26;Shepard, Alan B., Jr.;Shepard, Alan B., Jr.;M;1923;U.S.;Mil;1959 NASA group 1;1959;2;2;commander;1971;Apollo 14;Apollo 14;Apollo 14;Apollo 14;216;216,25;2;9,25;9,25
118;49;27;Roosa, Stuart A.;Roosa, Stuart A.;M;1933;U.S.;Mil;1966 NASA group 5;1966;1;1;pilot;1971;Apollo 14;Apollo 14;Apollo 14;Apollo 14;216;216;0;0;0
119;50;28;Mitchell, Edgar D.;Mitchell, Edgar D.;M;1930;U.S.;Mil;NASA- 5;1966;1;1;pilot;1971;Apollo 14;Apollo 14;Apollo 14;Apollo 14;216;216;2;9,38;9,38
